title,creator,description,date,date is approximate?,source,subject,category,coverage,rights,rightsstatement,language,digitization specifications,date digital,identifier,publisher,relation,collection,type,media type,format,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid,collectionid
Distant View of Roosevelt on Platform,,Theodore Roosevelt speaks from a platform in front of University of Idaho Administration Building.,1911-04-11,,MG_5299-19,"Roosevelt, Theodore;crowds;buildings;hats;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-19,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/413,413,423.jp2,/spec_uihp/image/423.jp2,troosevelt026,spec_uihp
Roosevelt Shields Eyes [2],,Theodore Roosevelt speaks from a platform in front of University of Idaho Administration Building.,1911-04-11,,MG_5299-20,"Roosevelt, Theodore;crowds;buildings;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-20,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/414,414,424.jp2,/spec_uihp/image/424.jp2,troosevelt027,spec_uihp
Crowd Assembled to Hear Roosevelt Speak [1],,A crowd assembles on the University of Idaho campus to hear Roosevelt speak.,1911-04-11,,MG_5299-21,crowds;buildings;hats;,Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-21,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/415,415,425.jp2,/spec_uihp/image/425.jp2,troosevelt028,spec_uihp
Crowd Assembled to Hear Roosevelt Speak [2],,A crowd assembles on the University of Idaho campus to hear Roosevelt speak. Visible in the background behind the platform are the old Engineering Building and Ridenbaugh Hall.,1911-04-11,,MG_5299-22,"Roosevelt, Theodore;crowds;buildings;hats;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-22,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/416,416,426.jp2,/spec_uihp/image/426.jp2,troosevelt029,spec_uihp
Crowd Assembled to Hear Roosevelt Speak [3],,A crowd assembles on the lawn in front of the University of Idaho Administration Building to hear Roosevelt speak. A long string of people coming up the Hello Walk can be seen in the distance.,1911-04-11,,MG_5299-23,"Roosevelt, Theodore;crowds;buildings;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-23,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/417,417,427.jp2,/spec_uihp/image/427.jp2,troosevelt030,spec_uihp
Crowd Assembled to Hear Roosevelt Speak [4],,A large crowd assembled on University of Idaho campus to hear Roosevelt speak.,1911-04-11,,MG_5299-24,crowds;automobiles;,Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-24,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/418,418,428.jp2,/spec_uihp/image/428.jp2,troosevelt031,spec_uihp
Crowd Gathered Outside Administration Building [1],,A view of the crowd assembled to hear Theodore Roosevelt speak. A large American flag can be seen hanging from the top of the Administration Building.,1911-04-11,,MG_5299-25,"Roosevelt, Theodore;crowds;buildings;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-25,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/419,419,429.jp2,/spec_uihp/image/429.jp2,troosevelt032,spec_uihp
Crowd Gathers,,A crowd assembles in front of University of Idaho Administration Building to hear Roosevelt speak.,1911-04-11,,MG_5299-26,crowds;hats;Theodore Roosevelt;,Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-26,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/420,420,430.jp2,/spec_uihp/image/430.jp2,troosevelt033,spec_uihp
Tree Planted by Roosevelt,,An unknown man stands next to a small tree planted by Theodore Roosevelt in front of the University of Idaho Administration Building.,1911-04-11,,MG_5299-28,buildings;trees;,Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-28,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/421,421,431.jp2,/spec_uihp/image/431.jp2,troosevelt034,spec_uihp
Military Men with Tree [1],,Three uniformed men pose for a photograph with the tree planted by Theodore Roosevelt in the lawn in front of the Administration Building.,1911-04-11,,MG_5299-27,military;trees;automobiles;,Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-27,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/422,422,432.jp2,/spec_uihp/image/432.jp2,troosevelt035,spec_uihp
Crowd Gathered for Roosevelt Speech,,"The crowd assembled on University of Idaho campus to hear Roosevelt speak. Roosevelt is visible, arm outstretched, on the platform on the left side of the photograph.",1911-04-11,,MG_5299-29,"Roosevelt, Theodore;crowds;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-29,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/423,423,433.jp2,/spec_uihp/image/433.jp2,troosevelt036,spec_uihp
Roosevelt on Platform [7],,Theodore Roosevelt speaks from a platform in front of University of Idaho Administration Building.,1911-04-11,,PG_6-7-14,"Roosevelt, Theodore;crowds;buildings;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,6-0007-14,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/424,424,434.jp2,/spec_uihp/image/434.jp2,troosevelt037,spec_uihp
Theodore Roosevelt Plants a Tree,"Burns, Robert (Moscow, Idaho)","A crowd watches as Theodore Roosevelt plants a tree in the lawn in front of the University of Idaho Administration Building. Text on the photo reads: ""Colonel Roosevelt Planting Tree on U.I. Campus 4-10-11, Burns Photo #2"". ",1911-04-11,,PG_6-7-13,"Roosevelt, Theodore;crowds;buildings;automobiles;trees;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,6-0007-13,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/425,425,435.jp2,/spec_uihp/image/435.jp2,troosevelt038,spec_uihp
Roosevelt on Platform [8],,Theodore Roosevelt speaks from a platform in front of University of Idaho Administration Building.,1911-04-11,,PG_6-7-16,"Roosevelt, Theodore;crowds;buildings;hats;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,6-0007-16,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/426,426,436.jp2,/spec_uihp/image/436.jp2,troosevelt039,spec_uihp
"Roosevelt, Hawley, MacLean [2]","Martin (Spokane, Washington)",Theodore Roosevelt on a platform in front of University of Idaho Administration Building leaning toward Idaho Governor James Hawley. University of Idaho President James MacLean is to the right of Hawley.,1911-04-11,,PG_6-7-11,"Roosevelt, Theodore;Hawley, James;MacLean, James;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-01,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/427,427,437.jp2,/spec_uihp/image/437.jp2,troosevelt040,spec_uihp
Roosevelt Gestures to Crowd [2],,Theodore Roosevelt speaks from a platform in front of University of Idaho Administration Building.,1911-04-11,,MG_5299-17,"Roosevelt, Theodore;crowds;buildings;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-02,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/428,428,438.jp2,/spec_uihp/image/438.jp2,troosevelt041,spec_uihp
Theodore Roosevelt Gestures During Speech,,Theodore Roosevelt speaking on platform in front of University of Idaho Administration Building; his right arm is raised up.,1911-04-11,,MG_5299-3,"Roosevelt, Theodore;crowds;buildings;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-03,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/429,429,439.jp2,/spec_uihp/image/439.jp2,troosevelt042,spec_uihp
Roosevelt on Platform [9],,Theodore Roosevelt speaks from a platform in front of University of Idaho Administration Building.,1911-04-11,,MG_5299-5,"Roosevelt, Theodore;crowds;buildings;hats;military;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-05,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/430,430,440.jp2,/spec_uihp/image/440.jp2,troosevelt043,spec_uihp
Roosevelt Shields Eyes [3],,Theodore Roosevelt speaks from a platform in front of University of Idaho Administration Building.,1911-04-11,,MG_5299-4,"Roosevelt, Theodore;crowds;buildings;hats;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-04,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/431,431,441.jp2,/spec_uihp/image/441.jp2,troosevelt044,spec_uihp
Crowd Gathered Outside Administration Building [2],,A view of the crowd assembled to hear Theodore Roosevelt speak. A large American flag can be seen hanging from the top of the Administration Building.,1911-04-11,,MG_5299-25,"Roosevelt, Theodore;crowds;buildings;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-06,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/432,432,442.jp2,/spec_uihp/image/442.jp2,troosevelt045,spec_uihp
Gathering Crowd,,"A crowd assembles in front of the University of Idaho Administration Building to hear Roosevelt speak. Boardwalk leading to Administration Building is visible in foreground, as is a horse and buggy on the left. ",1911-04-11,,MG_5299-7,crowds;horses;buildings;,Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-07,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/433,433,443.jp2,/spec_uihp/image/443.jp2,troosevelt046,spec_uihp
Roosevelt and Tree,,Theodore Roosevelt watches on as men finish planting the tree that he added to the lawn in front of the University of Idaho Administration Building.,1911-04-11,,MG_5299-8,"Roosevelt, Theodore;crowds;hats;trees;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-08,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/434,434,444.jp2,/spec_uihp/image/444.jp2,troosevelt047,spec_uihp
Military Men with Tree [2],,Three uniformed men pose for a photograph with the tree planted by Theodore Roosevelt in the lawn in front of the Administration Building.,1911-04-11,,MG_5299-9,military;trees;automobiles;,Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-09,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/435,435,445.jp2,/spec_uihp/image/445.jp2,troosevelt048,spec_uihp
"Argonaut Issue April 5th, 1911, ""Roosevelt Will Visit Campus on Monday""",,"Debate council - Financial report (pg 5, c1) | Financial report (pg 4, c1) | Preps vs. Lewiston High (pg 2, c2) | President of U.S. 1901-1909 (pg 1, c1)",1911-04-05,,,"Debate council - Financial report; The Idaho Argonaut; Track; Roosevelt, Theodore",Newspaper,United States--Idaho--Latah County--Moscow,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,ARG-1911-04-05,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","University of Idaho Library's Argonaut Student Newspaper Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",text,Newspaper Article,application/pdf,,,https://digital.lib.uidaho.edu/digital/collection/argonaut/id/979,979,,,troosevelt049,argonaut
"Argonaut Issue April 19th, 1911, ""Roosevelt Number""",University of Idaho Argonaut Student Newspaper,"Cadets, Battalion of (pg 8, c1) | Montgomery, James (pg 5, c1) | President of U.S. 1901-1909. Photo (pg 1, c0) | President of U.S. 1901-1909. Photo (pg 2, c1) | President of U.S. 1901-1909. Photo (pg 3, c2) | Varsity team vs. Spokane Indians (pg 4, c3) | Varsity team vs. Washington State College (pg 5, c1) | Women's (pg 7, c1)",1911-04-19,,,"Cadets, Battalion of; Montgomery, James; Roosevelt, Theodore; Baseball; Intramural track",Newspaper,United States--Idaho--Latah County--Moscow,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,ARG-1911-04-19,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","University of Idaho Library's Argonaut Student Newspaper Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",text,Newspaper Article,application/pdf,,,https://digital.lib.uidaho.edu/digital/collection/argonaut/id/984,984,,,troosevelt050,argonaut
