title,subject,photographer,date,date_is_approximate,description,subject_lctgm,location_old,location,source,digital_collection,holding_institution,format_original,format,type,identifier,datedigital,language,website,rights,rightsstatement,digitalspecifications,filename,oclcnumber,datecreated,datemodified,referenceurl,cdmid,contentdmfilename,contentdmfilepath,objectid
Hill City Elevator,grain elevators;clouds,"Higgins, Robert, E.",1993-11-09,,Grain elevators framed by imposing clouds received score of 30 at the International Club Print Competition. This image was also entered into Boise Camera Club and received a score of 24.,Photographic prints,United States--Idaho,"Hill City, Idaho","MA 2009-12, Box 3",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_035,2011-02-22,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/28,28,35.jp2,/higgins/image/35.jp2,higgins28
Yellowstone Devastation,fire damage;clouds,"Higgins, Robert, E.",1990-10-09,,"A stark reminder of forest fires, this image of burned trees at Yellowstone National Park was entered into Boise Camera Club and received a score 20.",Photographic prints,United States--Idaho,"Yellowstone National Park, Idaho","MA 2009-12, Box 3",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_036,2011-02-22,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/29,29,36.jp2,/higgins/image/36.jp2,higgins29
Arrowrock,dams (hydraulic structures);spillways,"Higgins, Robert, E.",1983-12-13,,Water gushing out of Arrowrock Dam received a score of 20 at the Boise Camera Club competition.,Photographic prints,United States--Idaho,"Arrowrock Dam, Boise, Idaho","MA 2009-12, Box 2",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_037,2011-02-24,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/30,30,37.jp2,/higgins/image/37.jp2,higgins30
Fisher Creek Cabin,abandoned dwellings;barnboard;siding (material);wood (plant material);trees;deterioration;dirt roads,"Higgins, Robert, E.",1995-04-01,,"A dilapidated, abandoned cabin entered into the Boise Camera Club and received a score of 24 competition.",Photographic prints,United States--Idaho,Idaho,"MA 2009-12, Box 2",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_038,2011-02-24,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/31,31,38.jp2,/higgins/image/38.jp2,higgins31
Little Willow,abandoned buildings;barnboard;siding (material);wood (plant material);trees;deterioration;rail fences;trees,"Higgins, Robert, E.",1994-02-08,,Dilapidated buildings on a ranch received a score of 22 at the Boise Camera Club competition.,Photographic prints,United States--Idaho,Idaho,"MA 2009-12, Box 2",Robert E. Higgins Collection,University of Idaho Library,Color Photograph,image/jpg,Image;StillImage,higgins_039,2011-02-24,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/32,32,39.jp2,/higgins/image/39.jp2,higgins32
Emmett Farm,barns;creeks (bodies of water);trees,"Higgins, Robert, E.",1983-02-08,,A creek leads up to a red barn hidden behind trees in this image.,Photographic prints,United States--Idaho,"Emmett, Idaho","MA 2009-12, Box 2",Robert E. Higgins Collection,University of Idaho Library,Color Photograph,image/jpg,Image;StillImage,higgins_004,2011-02-15,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/33,33,4.jp2,/higgins/image/4.jp2,higgins33
Willow Creek Ranch,abandoned buildings;barnboard;siding (material);wood (plant material);trees;deterioration;rail fences;trees,"Higgins, Robert, E.",1987-12-01,,Dilapidated buildings on a ranch received a score of 24 at the Boise Camera Club competition.,Photographic prints,United States--Idaho,Idaho,"MA 2009-12, Box 2",Robert E. Higgins Collection,University of Idaho Library,Color Photograph,image/jpg,Image;StillImage,higgins_040,2011-02-24,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/34,34,40.jp2,/higgins/image/40.jp2,higgins34
Upper Mesa Falls 2,waterfalls (natural bodies of water);rivers;rocks (landforms);rainbows,"Higgins, Robert, E.",1984-02-14,,A rainbow can be seen in the mist produced by a waterfall in this image that received a score of 24 at the Boise Camera Club competition.,Photographic prints,United States--Idaho,"Upper Mesa Falls, Idaho","MA 2009-12, Box 2",Robert E. Higgins Collection,University of Idaho Library,Color Photograph,image/jpg,Image;StillImage,higgins_041,2011-02-24,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/35,35,41.jp2,/higgins/image/41.jp2,higgins35
Hagerman Cone,winter;ice (water by form),"Higgins, Robert, E.",1985-08-13,,Ice formed into the shape of a cone received a score of 21 at the Boise Camera Club competition.,Photographic prints,United States--Idaho,"Hagerman, Idaho","MA 2009-12, Box 2",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_042,2011-02-24,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/36,36,42.jp2,/higgins/image/42.jp2,higgins36
Old Time Thoughts,churches (buildings);dirt roads;trees;hills;paths,"Higgins, Robert, E.",1984-06-12,,A dirt path amongst trees leads uphill to a church in this image that received a score of 22 at a Boise Camera Club competition.,Photographic prints,United States--Idaho,Idaho,"MA 2009-12, Box 2",Robert E. Higgins Collection,University of Idaho Library,Color Photograph,image/jpg,Image;StillImage,higgins_005,2011-02-15,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/37,37,5.jp2,/higgins/image/5.jp2,higgins37
Yellowstone,waterfalls (natural bodies of water);rivers;hills;trees,"Higgins, Robert, E.",1984-05-08,,An iconic view of mist rising from a waterfall and river flowing through the canyon at Yellowstone National Park received a score of 25 at an International Club Print Competition.,Photographic prints,United States--Wyoming--Yellowstone,"Yellowstone National Park, Wyoming","MA 2009-12, Box 2",Robert E. Higgins Collection,University of Idaho Library,Color Photograph,image/jpg,Image;StillImage,higgins_006,2011-02-15,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/38,38,6.jp2,/higgins/image/6.jp2,higgins38
River Bottom Texture,winter;rivers;river beds,"Higgins, Robert, E.",1987-01-10,yes,Snow covering a rocky river bed received a score of 21 at the Boise Camera Club competition.,Photographic prints,United States--Idaho,Idaho,"MA 2009-12, Box 2",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_007,2011-02-15,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/39,39,7.jp2,/higgins/image/7.jp2,higgins39
Foggy Bottom (Remake),creeks (bodies of water;trees;winter,"Higgins, Robert, E.",1996-07-13,,A creek flowing through a snowy wooded landscape received a score of 25 at the Boise Camera Club competition.,Photographic prints,United States--Idaho,Idaho,"MA 2009-12, Box 2",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_008,2011-02-15,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/40,40,8.jp2,/higgins/image/8.jp2,higgins40
Sculpture,winter;ice (water by form),"Higgins, Robert, E.",1985-08-13,,Icicles clustered together to form a massive sculpture  received a score of 24 at the Boise Camera Club competition.,Photographic prints,United States--Idaho,Idaho,"MA 2009-12, Box 2",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_009,2011-02-15,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/41,41,9.jp2,/higgins/image/9.jp2,higgins41
